epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.4889,1.85305,2.19347,1.73886,0.50008,0.4342,0.40192,0.15691,2.05608,1.9144,1.78784,0.000552695,0.000552695,0.000552695
2,96.3693,1.77417,1.66434,1.63812,0.57111,0.4543,0.48597,0.22467,1.86039,1.81769,1.67968,0.00109465,0.00109465,0.00109465
3,138.124,1.75718,1.60479,1.6196,0.83793,0.29316,0.45102,0.20844,1.83318,2.29301,1.69028,0.00162284,0.00162284,0.00162284
4,179.425,1.72555,1.52535,1.60888,0.57345,0.5304,0.54509,0.26559,1.8133,1.58244,1.62057,0.00160511,0.00160511,0.00160511
5,221.018,1.67452,1.42909,1.57299,0.6351,0.55196,0.602,0.28302,1.7984,2.03455,1.62787,0.00158448,0.00158448,0.00158448
6,262.229,1.65024,1.33847,1.54424,0.6811,0.53437,0.62223,0.30084,1.71403,1.41315,1.55746,0.00156385,0.00156385,0.00156385
7,303.309,1.60756,1.26125,1.51973,0.75974,0.59915,0.68404,0.34643,1.67173,1.29581,1.52471,0.00154323,0.00154323,0.00154323
8,344.395,1.57631,1.19433,1.48899,0.76808,0.61961,0.71145,0.36105,1.64249,1.19896,1.50335,0.0015226,0.0015226,0.0015226
9,385.562,1.54121,1.14665,1.47358,0.72832,0.66328,0.7085,0.34976,1.6982,1.27717,1.51185,0.00150197,0.00150197,0.00150197
10,427.346,1.53893,1.11418,1.4643,0.76932,0.64996,0.74063,0.38889,1.60524,1.12775,1.46898,0.00148134,0.00148134,0.00148134
11,468.645,1.50749,1.06222,1.44676,0.81184,0.67024,0.77405,0.4161,1.60052,1.07209,1.45654,0.00146071,0.00146071,0.00146071
12,512.783,1.49602,1.03004,1.43624,0.79174,0.6607,0.75404,0.35609,1.74869,1.11914,1.57193,0.00144008,0.00144008,0.00144008
13,558.175,1.48713,1.00524,1.42868,0.78483,0.68608,0.76202,0.383,1.65454,1.09945,1.50339,0.00141945,0.00141945,0.00141945
14,602.893,1.45393,0.97015,1.40423,0.81372,0.70929,0.79552,0.41978,1.59295,1.03586,1.44478,0.00139882,0.00139882,0.00139882
15,648.449,1.45861,0.96903,1.40844,0.80878,0.71573,0.7932,0.44619,1.52271,0.97638,1.42531,0.00137819,0.00137819,0.00137819
16,693.886,1.42448,0.93884,1.39032,0.84319,0.70888,0.81459,0.43839,1.55129,0.98769,1.41646,0.00135756,0.00135756,0.00135756
17,738.904,1.41145,0.90845,1.37436,0.85127,0.74799,0.84158,0.46907,1.51207,0.90635,1.40395,0.00133693,0.00133693,0.00133693
18,783.164,1.39007,0.89162,1.36173,0.8699,0.73939,0.83026,0.46716,1.52955,0.90012,1.41579,0.0013163,0.0013163,0.0013163
19,828.45,1.38186,0.86967,1.35427,0.82914,0.72751,0.81386,0.42931,1.60722,0.96177,1.47407,0.00129568,0.00129568,0.00129568
20,870.781,1.38029,0.85468,1.34825,0.84344,0.7494,0.83796,0.48151,1.486,0.88449,1.3655,0.00127505,0.00127505,0.00127505
21,915.638,1.35167,0.84329,1.33411,0.85313,0.76599,0.8396,0.46882,1.51578,0.88361,1.38783,0.00125442,0.00125442,0.00125442
22,961.427,1.34345,0.81293,1.32682,0.86529,0.74885,0.84288,0.47342,1.47749,0.87826,1.38238,0.00123379,0.00123379,0.00123379
23,1006.67,1.32252,0.8108,1.31837,0.8677,0.74659,0.84465,0.48054,1.47548,0.84815,1.36656,0.00121316,0.00121316,0.00121316
24,1051.16,1.31283,0.79674,1.30564,0.86539,0.78703,0.85561,0.45644,1.59232,0.8764,1.43273,0.00119253,0.00119253,0.00119253
25,1095.97,1.2921,0.7737,1.29144,0.88265,0.75879,0.85098,0.49329,1.4595,0.84484,1.35569,0.0011719,0.0011719,0.0011719
26,1142.09,1.28315,0.76209,1.28581,0.88602,0.76793,0.85888,0.50175,1.44721,0.84002,1.35766,0.00115127,0.00115127,0.00115127
27,1187.19,1.26997,0.75806,1.27904,0.86702,0.78605,0.85843,0.49626,1.45673,0.83229,1.33679,0.00113064,0.00113064,0.00113064
28,1232.04,1.25889,0.73798,1.2658,0.87801,0.7796,0.85947,0.50178,1.44924,0.81172,1.35225,0.00111001,0.00111001,0.00111001
29,1278.22,1.24212,0.72383,1.26298,0.8637,0.77056,0.84962,0.49264,1.46929,0.83072,1.35875,0.00108938,0.00108938,0.00108938
30,1323.78,1.24355,0.71856,1.25581,0.89528,0.77045,0.86612,0.5082,1.42864,0.80348,1.3521,0.00106876,0.00106876,0.00106876
31,1368.39,1.23281,0.71449,1.25318,0.89934,0.77075,0.86908,0.51779,1.42248,0.80341,1.33721,0.00104813,0.00104813,0.00104813
32,1412.17,1.22714,0.69945,1.24576,0.90104,0.79971,0.87226,0.49642,1.45648,0.7997,1.34099,0.0010275,0.0010275,0.0010275
33,1453.98,1.19731,0.68295,1.22704,0.88243,0.80967,0.87346,0.51897,1.40122,0.77826,1.32318,0.00100687,0.00100687,0.00100687
34,1496.68,1.18661,0.67668,1.22187,0.90188,0.79127,0.87319,0.52664,1.38974,0.7682,1.314,0.000986239,0.000986239,0.000986239
35,1539.05,1.16415,0.66553,1.20669,0.87569,0.79252,0.86647,0.50873,1.40524,0.7812,1.33358,0.00096561,0.00096561,0.00096561
36,1581.41,1.17579,0.66081,1.21155,0.90546,0.79958,0.88216,0.53748,1.38005,0.72552,1.31179,0.000944981,0.000944981,0.000944981
37,1624.92,1.15221,0.63806,1.20158,0.89697,0.79746,0.88174,0.53802,1.37649,0.72156,1.30793,0.000924352,0.000924352,0.000924352
38,1667.66,1.14047,0.63527,1.19057,0.89961,0.80383,0.88679,0.53902,1.39131,0.7256,1.31933,0.000903722,0.000903722,0.000903722
39,1710.48,1.13298,0.6319,1.18504,0.90726,0.8011,0.88286,0.53878,1.37428,0.72637,1.31601,0.000883093,0.000883093,0.000883093
40,1753.74,1.1198,0.61559,1.17734,0.88124,0.82334,0.88121,0.52925,1.40388,0.73097,1.3207,0.000862464,0.000862464,0.000862464
41,1795.57,1.1078,0.60785,1.17423,0.90648,0.82024,0.88872,0.5546,1.3393,0.70805,1.28373,0.000841835,0.000841835,0.000841835
42,1840.75,1.0902,0.60283,1.16133,0.90387,0.81513,0.88839,0.54221,1.37264,0.7118,1.30055,0.000821206,0.000821206,0.000821206
43,1885.18,1.08878,0.59515,1.15763,0.90446,0.82435,0.8924,0.54677,1.36869,0.71142,1.31394,0.000800577,0.000800577,0.000800577
44,1929.8,1.09059,0.59814,1.15928,0.90649,0.82067,0.89173,0.54538,1.37871,0.70536,1.2943,0.000779948,0.000779948,0.000779948
45,1974.14,1.07635,0.57904,1.15128,0.89795,0.83154,0.89701,0.55579,1.35114,0.69532,1.28497,0.000759318,0.000759318,0.000759318
