epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.2159,1.88715,2.6575,1.73022,0.51288,0.49,0.46143,0.20913,1.82411,1.95899,1.6261,0.000552695,0.000552695,0.000552695
2,63.062,1.74434,1.95473,1.58179,0.57306,0.46063,0.48186,0.20095,1.8746,1.78625,1.63141,0.00109465,0.00109465,0.00109465
3,89.8803,1.72022,1.74372,1.55332,0.38821,0.35888,0.29295,0.12117,1.97673,2.30824,1.7173,0.00162284,0.00162284,0.00162284
4,116.517,1.69113,1.59854,1.54171,0.58167,0.47756,0.51181,0.23014,1.86838,1.88764,1.61805,0.00160511,0.00160511,0.00160511
5,143.008,1.64615,1.47602,1.51769,0.61188,0.51651,0.53907,0.2218,1.89697,1.65031,1.66515,0.00158448,0.00158448,0.00158448
6,167.89,1.6262,1.3936,1.4958,0.58832,0.54502,0.53429,0.24826,1.75772,1.63045,1.53127,0.00156385,0.00156385,0.00156385
7,193.333,1.59954,1.32523,1.48369,0.70077,0.60376,0.67287,0.33933,1.67864,1.34948,1.50821,0.00154323,0.00154323,0.00154323
8,218.341,1.57442,1.24331,1.46585,0.74429,0.62619,0.69487,0.34238,1.70592,1.28612,1.50262,0.0015226,0.0015226,0.0015226
9,243.259,1.55807,1.20288,1.45345,0.69498,0.63757,0.6585,0.33207,1.68017,1.32646,1.46735,0.00150197,0.00150197,0.00150197
10,268.324,1.54683,1.18278,1.44601,0.76121,0.63903,0.72225,0.36889,1.68092,1.24749,1.49555,0.00148134,0.00148134,0.00148134
11,293.233,1.52522,1.14512,1.43018,0.7189,0.54509,0.6287,0.27249,1.88556,1.43485,1.6212,0.00146071,0.00146071,0.00146071
12,318.063,1.51071,1.09767,1.41557,0.76063,0.65345,0.73125,0.36774,1.69599,1.16061,1.49936,0.00144008,0.00144008,0.00144008
13,343.139,1.49011,1.08407,1.41299,0.76399,0.66197,0.73395,0.34311,1.74849,1.18848,1.5308,0.00141945,0.00141945,0.00141945
14,368.04,1.47735,1.04045,1.40223,0.78045,0.65327,0.73957,0.36717,1.68076,1.15186,1.47912,0.00139882,0.00139882,0.00139882
15,392.954,1.46903,1.03146,1.39882,0.83608,0.63859,0.76522,0.40709,1.59342,1.14899,1.42947,0.00137819,0.00137819,0.00137819
