epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.196,1.8207,2.51308,1.64987,0.52193,0.44991,0.44535,0.20203,1.80654,1.98262,1.57914,0.000552695,0.000552695,0.000552695
2,57.7427,1.6276,1.71006,1.49345,0.57558,0.50936,0.5157,0.24352,1.76057,1.72028,1.54747,0.00109465,0.00109465,0.00109465
3,83.5669,1.57867,1.47717,1.46196,0.58352,0.47702,0.53093,0.25566,1.74681,1.6935,1.55706,0.00162284,0.00162284,0.00162284
4,109.177,1.52827,1.28725,1.41641,0.69376,0.57038,0.63454,0.31772,1.69486,1.4775,1.47981,0.00160511,0.00160511,0.00160511
5,134.729,1.46853,1.13982,1.37305,0.72627,0.61118,0.66965,0.31462,1.74531,1.36245,1.53819,0.00158448,0.00158448,0.00158448
6,160.426,1.39546,1.00871,1.32872,0.71454,0.5729,0.64755,0.30609,1.78682,1.44009,1.54311,0.00156385,0.00156385,0.00156385
7,185.848,1.31359,0.93253,1.27823,0.78129,0.63469,0.71463,0.38068,1.63021,1.20822,1.44009,0.00154323,0.00154323,0.00154323
8,212.037,1.26379,0.86499,1.24169,0.79018,0.64713,0.72845,0.37356,1.70232,1.25609,1.45649,0.0015226,0.0015226,0.0015226
9,237.583,1.19306,0.80202,1.20271,0.76464,0.64573,0.7184,0.35261,1.75747,1.22555,1.52275,0.00150197,0.00150197,0.00150197
10,263.148,1.15425,0.7521,1.17841,0.78148,0.6184,0.7025,0.38804,1.62239,1.34726,1.40911,0.00148134,0.00148134,0.00148134
11,288.593,1.0995,0.70819,1.14963,0.80703,0.65805,0.73864,0.40258,1.60916,1.16058,1.44399,0.00146071,0.00146071,0.00146071
12,314.232,1.05905,0.67265,1.12777,0.77452,0.63429,0.72628,0.38634,1.61593,1.19378,1.45062,0.00144008,0.00144008,0.00144008
13,339.908,1.0263,0.64617,1.10748,0.80166,0.65799,0.736,0.4007,1.61824,1.12823,1.44561,0.00141945,0.00141945,0.00141945
14,366.138,0.97426,0.60292,1.07775,0.84584,0.66816,0.76709,0.42219,1.58863,1.11151,1.43651,0.00139882,0.00139882,0.00139882
15,392.644,0.94336,0.57975,1.06328,0.81234,0.64995,0.74251,0.41767,1.56059,1.11723,1.45285,0.00137819,0.00137819,0.00137819
16,420.121,0.90492,0.55969,1.04245,0.8268,0.67555,0.75523,0.40461,1.64757,1.0976,1.48077,0.00135756,0.00135756,0.00135756
17,447.78,0.85427,0.53123,1.02049,0.80408,0.66198,0.73468,0.40957,1.60646,1.15214,1.50036,0.00133693,0.00133693,0.00133693
18,475.559,0.82825,0.51029,1.00688,0.83047,0.67931,0.76186,0.42705,1.5635,1.05734,1.47858,0.0013163,0.0013163,0.0013163
19,501.62,0.79799,0.48775,0.99374,0.80594,0.67809,0.74561,0.40879,1.58604,1.11289,1.49989,0.00129568,0.00129568,0.00129568
20,528.408,0.7604,0.47535,0.97593,0.81952,0.64501,0.74714,0.41592,1.57802,1.15525,1.48485,0.00127505,0.00127505,0.00127505
21,555.389,0.75081,0.46444,0.96966,0.80191,0.67293,0.74,0.41563,1.5778,1.11303,1.50386,0.00125442,0.00125442,0.00125442
22,582.04,0.71491,0.44359,0.95497,0.82611,0.66126,0.74585,0.41034,1.60324,1.16842,1.52103,0.00123379,0.00123379,0.00123379
23,609.957,0.68657,0.42936,0.94183,0.86223,0.66296,0.75842,0.42831,1.56133,1.10644,1.48829,0.00121316,0.00121316,0.00121316
24,638.363,0.67013,0.41511,0.93336,0.84847,0.6344,0.74008,0.42128,1.54618,1.14864,1.50695,0.00119253,0.00119253,0.00119253
25,667.233,0.63444,0.40022,0.92051,0.86738,0.64655,0.76567,0.43963,1.56016,1.18436,1.52349,0.0011719,0.0011719,0.0011719
26,695.676,0.62862,0.39215,0.91702,0.82865,0.67517,0.75599,0.43061,1.54619,1.06811,1.49452,0.00115127,0.00115127,0.00115127
27,722.948,0.60536,0.37987,0.90717,0.81711,0.66414,0.74755,0.42409,1.56744,1.17941,1.51978,0.00113064,0.00113064,0.00113064
28,750.771,0.58919,0.37395,0.90086,0.84574,0.66363,0.74851,0.43517,1.52531,1.12174,1.48933,0.00111001,0.00111001,0.00111001
29,778.297,0.57554,0.36742,0.89661,0.82492,0.68061,0.76682,0.44436,1.5504,1.10161,1.50488,0.00108938,0.00108938,0.00108938
30,806.354,0.5568,0.35984,0.88835,0.81083,0.64695,0.72052,0.43279,1.5223,1.26247,1.50122,0.00106876,0.00106876,0.00106876
31,834.286,0.53726,0.34957,0.88219,0.83545,0.66017,0.75526,0.43887,1.55553,1.12393,1.51973,0.00104813,0.00104813,0.00104813
32,862.103,0.52801,0.34348,0.87801,0.82212,0.68831,0.76505,0.4545,1.52353,1.10241,1.50571,0.0010275,0.0010275,0.0010275
33,891.835,0.50369,0.33323,0.87091,0.82706,0.67414,0.74561,0.42715,1.56416,1.12899,1.55532,0.00100687,0.00100687,0.00100687
34,921.262,0.48775,0.32544,0.86526,0.83928,0.6611,0.75529,0.44385,1.53009,1.12716,1.55647,0.000986239,0.000986239,0.000986239
35,949.786,0.47934,0.31919,0.86223,0.83977,0.68089,0.77241,0.45744,1.5157,1.10472,1.53389,0.00096561,0.00096561,0.00096561
36,977.831,0.45608,0.31041,0.85563,0.84258,0.67958,0.76963,0.45409,1.545,1.13241,1.54826,0.000944981,0.000944981,0.000944981
37,1003.68,0.45103,0.30532,0.85374,0.85035,0.66216,0.76386,0.45857,1.52697,1.1289,1.55729,0.000924352,0.000924352,0.000924352
38,1030.09,0.43625,0.29765,0.84911,0.85762,0.62485,0.75397,0.44716,1.52492,1.18648,1.5548,0.000903722,0.000903722,0.000903722
39,1058.62,0.42385,0.29161,0.84517,0.82304,0.67544,0.76313,0.45373,1.50984,1.12051,1.54176,0.000883093,0.000883093,0.000883093
40,1087.01,0.41428,0.2846,0.84206,0.80838,0.69639,0.76484,0.45904,1.51025,1.14199,1.54761,0.000862464,0.000862464,0.000862464
41,1114.47,0.39972,0.27777,0.83864,0.86327,0.67203,0.77384,0.46219,1.5201,1.108,1.56061,0.000841835,0.000841835,0.000841835
42,1140.58,0.38851,0.27239,0.83536,0.79592,0.68555,0.76052,0.45343,1.53685,1.18862,1.59666,0.000821206,0.000821206,0.000821206
43,1167.41,0.37702,0.26816,0.83194,0.87289,0.6562,0.76199,0.46344,1.49842,1.11283,1.56282,0.000800577,0.000800577,0.000800577
44,1194.99,0.37893,0.26405,0.83277,0.8321,0.68679,0.77441,0.46866,1.51533,1.10916,1.59475,0.000779948,0.000779948,0.000779948
45,1223.38,0.35439,0.25646,0.82638,0.83597,0.65189,0.7568,0.45855,1.51758,1.15371,1.59789,0.000759318,0.000759318,0.000759318
